MOVIE NAME, YEAR, MALE SINGER COUNT, FEMALE SINGER COUNT, MALE SONG COUNT, FEMALE SONG COUNT
Madhosh (1974 film)_1974,1974,2.0,1,4.0,9
Aatish (film)_1979,1979,2,3.0,4,4.0
Mahaanta_1997,1997,0.0,3,0.0,8
Hanuman Da' Damdaar_2017,2017,3.0,1.0,3.0,1.0
Hip Hip Hurray (film)_1984,1984,3,2.0,6,3.0
Joshila_1973,1973,1,2.0,3,7.0
Geet (1992 film)_1992,1992,1.0,4,4.0,14
Taqdeer Ka Tamasha_1990,1990,1.0,2,1.0,4
Yuhi Kabhi_1994,1994,2,1.0,5,2.0
Laadla (film)_1994,1994,2,2.0,6,5.0
Shreemaan Aashique_1993,1993,6,4.0,8,5.0
Haathi Ke Daant_1973,1973,0.0,2,0.0,4
Bheja Fry 2_2011,2011,1.0,1.0,1.0,1.0
Amrit (film)_1986,1986,2.0,2.0,2.0,3.0
Mera Dharam_1986,1986,1.0,2.0,1.0,5.0
Rudaali (1993 film)_1993,1993,1.0,2,3.0,4
Jai Dwarkadheesh_1977,1977,1,3.0,4,10.0
Aag Laga Do Sawan Ko_1991,1991,0.0,1.0,0.0,4.0
Dishkiyaoon_2014,2014,1,0.0,1,0.0
Charnon Ki Saugandh_1988,1988,1.0,1.0,6.0,4.0
Ganga Meri Maa_1983,1983,2,1.0,3,4.0
Phir Wohi Raat_1980,1980,2,2.0,4,4.0
Yeh Aag Kab Bujhegi_1991,1991,1.0,2.0,1.0,3.0
Maa (1992 Hindi film)_1991,1991,2,2.0,3,2.0
Suhaag (1979 film)_1979,1979,3.0,3,6.0,7
Zulm Ko Jala Doonga_1988,1988,0.0,2.0,0.0,6.0
Shareef Budmaash_1973,1973,1.0,2,3.0,3
Rangoon (2017 film)_2017,2017,4.0,3,6.0,8
Dangal (film)_2016,2016,7,2.0,7,2.0
Mehndi Rang Layegi_1982,1982,2,3.0,3,6.0
Nagina (1986 film)_1986,1986,0.0,3.0,0.0,4.0
Kachche Heere_1982,1982,1.0,2,2.0,6
Isi Ka Naam Zindagi_1992,1992,2.0,4,5.0,7
Kaanch Ki Deewar_1986,1986,2.0,2,3.0,5
Barsaat Ki Raat_1998,1998,2.0,5,4.0,11
Meri Aawaz Suno_1981,1981,1.0,1,2.0,5
Pehchan (1970 film)_1970,1970,3,4.0,6,5.0
The Xpose_2014,2014,6.0,5,16.0,15
Hanste Zakhm_1973,1973,1,2.0,2,4.0
Baabarr_2009,2009,1.0,1.0,2.0,2.0
Pataal Bhairavi_1985,1985,3.0,4,7.0,5
Mehbooba_1976,1976,2.0,1,4.0,5
Kitaab_1977,1977,2,1.0,2,1.0
Naaraaz (1994 film)_1994,1994,2,1.0,5,1.0
Maidan-E-Jung_1995,1995,5,4.0,6,5.0
Paranthe Wali Gali_2014,2014,1.0,1.0,1.0,1.0
Geet Gaata Chal_1975,1975,2.0,3.0,2.0,5.0
Saboot_1980,1980,0.0,1,0.0,2
Ok Jaanu_2017,2017,9,3.0,11,5.0
Babul Ki Galiyaan_1972,1972,2.0,1,2.0,6
