Movie Name, Cast Name, Total Centrality, Average Centrality
Janbaaz,raja,137.0,7.611111111111111
Janbaaz,rana,510.0,7.391304347826087
Janbaaz,vikas,118.0,7.866666666666666
Janbaaz,singh,221.83333333333334,9.243055555555555
Janbaaz,rajesh,48.0,0.9230769230769231
Johny Mera Naam,sohan,157.0,5.233333333333333
Johny Mera Naam,mohan,27.0,1.173913043478261
Jeeva,jeeva,6.0,0.3
Jeeva,lala,215.0,11.31578947368421
Jeeva,jeevan,0.0,0.0
Khilona,thakur,0.0,0.0
Khilona,vijaykamal,0.0,0.0
Khilona,bihari,368.8333333333333,6.046448087431694
Khilona,mohan,18.0,0.28125
Khilona,singh,52.0,4.7272727272727275
Khilona,brother,146.0,4.709677419354839
Khilona,vijay,490.5,3.454225352112676
Maa Aur Mamta,father,75.5,1.3245614035087718
Maa Aur Mamta,boy,10.0,1.25
Maa Aur Mamta,henry,134.5,4.981481481481482
Maa Aur Mamta,williams,21.0,0.2916666666666667
Maa Aur Mamta,man,40.0,6.666666666666667
Maa Aur Mamta,bothe,193.0,8.391304347826088
Maa Aur Mamta,cassim,0.0,0.0
Maa Aur Mamta,ram,229.0,2.6941176470588237
Karma,the,749.0,2.029810298102981
Karma,baiju,271.0,2.7373737373737375
Karma,johnny,54.0,0.46153846153846156
Karma,dang,1241.0,13.9438202247191
Karma,khairuddin,474.5,5.157608695652174
Karma,singh,980.5,3.5017857142857145
Man Ki Aankhen,rajesh,262.0,6.093023255813954
Krishna-Krishna,father,15.0,3.0
Krishna-Krishna,gopalakrishnan,227.0,4.450980392156863
Love and God,allah,93.83333333333334,4.265151515151516
Love and God,kais,563.3333333333333,3.164794007490636
Love and God,father,145.33333333333334,1.990867579908676
Mera Naam Joker,raju,703.0,2.391156462585034
Mere Humsafar,raju,340.0,2.0
Main Balwan,tony,134.0,2.68
Main Balwan,father,10.0,2.5
Main Balwan,anil,74.0,1.85
Mazloom,father,13.0,1.625
Mohabbat Ki Kasam,son,241.33333333333334,8.619047619047619
Mohabbat Ki Kasam,boy,12.0,2.4
Pagla Kahin Ka,max,0.0,0.0
Pagla Kahin Ka,shyam,3.5,0.12962962962962962
Pagla Kahin Ka,sujit,0.0,0.0
Pagla Kahin Ka,ajit,25.0,1.3157894736842106
Naam,son,166.0,7.545454545454546
Naam,ravi,113.0,2.215686274509804
Naam,vicky,75.0,0.7425742574257426
Nagina,bhairo,490.16666666666663,8.03551912568306
Nagina,rajiv,262.83333333333337,1.4284420289855075
Pavitra Paapi,kedarnath,1278.8333333333335,15.98541666666667
Pavitra Paapi,pannalal,21.583333333333332,0.19444444444444445
Pavitra Paapi,kedar,308.0,6.285714285714286
Nasihat,mohanlal,739.0,5.4338235294117645
Nasihat,seth,54.5,0.5561224489795918
Nasihat,rajesh,73.0,4.055555555555555
Nasihat,dinesh,499.5,12.182926829268293
Nasihat,jagdish,283.0,6.288888888888889
Prem Pujari,lieutenant,656.3333333333335,5.966666666666668
Prem Pujari,man,96.5,6.433333333333334
Purab Aur Paschim,harnam,0.0,0.0
Purab Aur Paschim,father,60.33333333333333,3.1754385964912277
Purab Aur Paschim,bharat,139.0,2.482142857142857
Patton Ki Bazi,mahesh,336.0,10.181818181818182
Rootha Na Karo,sudhir,161.0,5.551724137931035
Rootha Na Karo,sudheer,519.4166666666667,4.43945868945869
Rootha Na Karo,man,76.0,5.428571428571429
Rootha Na Karo,anil,55.66666666666667,1.4273504273504274
Sachaa Jhutha,brother,258.4,4.306666666666667
Safar (film),kalidas,36.0,2.0
Safar (film),brother,109.0,2.8684210526315788
Safar (film),avinash,224.0,2.0934579439252334
Sawan Bhadon,madan,672.0000000000001,7.384615384615386
Sawan Bhadon,vikram,1594.833333333333,5.461757990867579
Sawan Bhadon,man,375.16666666666663,6.82121212121212
Sawan Bhadon,vinodh,876.8333333333331,13.087064676616913
Suhana Safar,sunil,86.0,3.185185185185185
Suhana Safar,father,229.5,4.098214285714286
Tum Haseen Main Jawaan,sunil,655.5,7.622093023255814
Aap Aye Bahaar Ayee,son,121.33333333333333,4.044444444444444
Aap Aye Bahaar Ayee,rohit,741.0833333333334,3.880017452006981
Aap Aye Bahaar Ayee,kumar,336.3333333333333,2.8027777777777776
Aap Aye Bahaar Ayee,whiskey,58.0,3.0526315789473686
Albela,mahesh,853.9999999999999,14.23333333333333
Albela,father,377.0,7.25
Anand,anand,1020.1666666666666,6.145582329317269
Anand,bhaskar,1180.1666666666665,5.316066066066066
Anand,kulkarni,22.0,0.88
Andaz,khanna,58.83333333333333,2.2628205128205128
Andaz,shammi,72.0,2.4827586206896552
Andaz,man,500.66666666666663,18.54320987654321
Andaz,rajesh,0.0,0.0
Anubhav,amar,805.3333333333333,4.549905838041431
Anubhav,shashi,398.5,4.025252525252525
Banphool,raja,23.0,2.3
Banphool,haria,137.0,1.5054945054945055
Banphool,father,246.33333333333334,8.211111111111112
