MOVIE NAME, CAST, MENTIONS, TOTAL CENTRALITY, COUNT, AVERAGE CENTRALITY
Aan Milo Sajna,woman,2,222.5,12,18.541666666666668
Aan Milo Sajna,savitri,11,868.1666666666666,131,6.627226463104326
Aan Milo Sajna,deepali,4,0.0,89,0.0
Abhinetri,anjana,9,319.0,79,4.037974683544304
Aag Aur Shola,usha,6,48.0,54,0.8888888888888888
Aakhree Raasta,mary,0,256.0,136,1.8823529411764706
Aap Ke Saath,deepa,3,60.0,17,3.5294117647058822
Aap Ke Saath,ganga,5,280.5,36,7.791666666666667
Chetna,seema,23,227.50000000000003,170,1.3382352941176472
Chetna,dhawan,1,120.83333333333333,31,3.897849462365591
Adhikar,mother,0,242.33333333333331,33,7.3434343434343425
Adhikar,jyoti,0,52.75,86,0.6133720930232558
Aisa Pyaar Kahan,saritha,2,0.0,9,0.0
Aisa Pyaar Kahan,pooja,5,41.0,36,1.1388888888888888
Amrit (film),nurse,1,0.0,4,0.0
Amrit (film),sunita,4,408.3333333333333,54,7.561728395061728
Amrit (film),kamla,18,1007.6666666666666,165,6.107070707070707
Angaaray,mother,2,0.0,22,0.0
Angaaray,hirabai,1,20.0,7,2.857142857142857
Angaaray,aarti,12,431.0,118,3.652542372881356
Dharti,daughter,1,16.0,5,3.2
Ankush,anita,4,164.0,26,6.3076923076923075
Anokha Rishta,dr.,0,0.0,0,0.0
Anokha Rishta,beena,1,0.0,30,0.0
Anokha Rishta,woman,1,20.0,5,4.0
Anokha Rishta,padma,14,415.0,222,1.8693693693693694
Anokha Rishta,mother,21,42.0,446,0.09417040358744394
Anokha Rishta,superior,12,4550.694033744033,375,12.135184089984088
Anokha Rishta,alex,5,77.0,101,0.7623762376237624
Anokha Rishta,sister,2,194.11666666666676,68,2.854656862745099
Anubhav,gauri,0,803.2333333333333,189,4.249911816578483
Asli Naqli,laxmi,8,0.0,64,0.0
Asli Naqli,seth,4,0.0,24,0.0
Geet,janki,7,220.16666666666666,56,3.931547619047619
Geet,kamla,25,203.0,223,0.9103139013452914
Geet,sister,3,64.5,23,2.8043478260869565
Baat Ban Jaye,aman,1,65.0,27,2.4074074074074074
Baat Ban Jaye,nisha,1,133.0,15,8.866666666666667
Bhagwaan Dada,woman,2,305.4666666666666,41,7.450406504065039
Bhagwaan Dada,geeta,8,232.33333333333331,90,2.5814814814814815
Bhagwaan Dada,mother,1,180.0,27,6.666666666666667
Bhagwaan Dada,bijli,25,2040.5333333333335,297,6.870482603815938
Bhagwaan Dada,sister,4,556.75,47,11.845744680851064
Chameli Ki Shaadi,chameli,2,638.8476190476191,49,13.0377065111759
Dharm Adhikari,sudha,4,36.0,23,1.565217391304348
Dharm Adhikari,savitri,4,91.0,36,2.5277777777777777
Dharm Adhikari,daughter,3,321.66666666666663,46,6.992753623188405
Dilwaala,kamla,2,68.5,10,6.85
Dosti Dushmani,lata,5,68.0,51,1.3333333333333333
Dosti Dushmani,rekha,4,244.0,44,5.545454545454546
Himmat,malti,3,0.0,19,0.0
Ek Chadar Maili Si,mother,1,46.4,15,3.0933333333333333
Ek Chadar Maili Si,woman,1,96.0,16,6.0
Ek Chadar Maili Si,girl,3,327.5,41,7.987804878048781
Humjoli,ranibala,3,60.0,27,2.2222222222222223
Humjoli,shyama,3,107.5,34,3.161764705882353
Genesis,woman,0,153.5,32,4.796875
Ghar Sansar,mother,1,8.0,2,4.0
Ghar Sansar,radhika,2,64.0,40,1.6
Ghar Sansar,daughter,3,1029.0666666666666,71,14.493896713615023
Ishq Par Zor Nahin,sushma,10,184.5,110,1.6772727272727272
Ilzaam,aarti,8,143.35,108,1.3273148148148148
Ilzaam,sister,1,784.3333333333333,46,17.050724637681157
Jawab,sister,3,42.0,22,1.9090909090909092
Jaal,woman,0,444.0,25,17.76
Jeevan Mrityu,deepa,5,27.0,53,0.5094339622641509
Janbaaz,reshma,16,417.5,96,4.348958333333333
Johny Mera Naam,heera,1,0.0,10,0.0
Khilona,chand,10,319.0,119,2.680672268907563
Khilona,radha,11,118.5,78,1.5192307692307692
Maa Aur Mamta,mary,5,140.5,53,2.650943396226415
Maa Aur Mamta,girl,1,84.0,21,4.0
Maa Aur Mamta,maya,14,541.3333333333334,139,3.894484412470024
Maa Aur Mamta,mrs.,0,0.0,0,0.0
Maa Aur Mamta,victor,3,42.0,33,1.2727272727272727
Maa Aur Mamta,daughter,2,167.33333333333334,26,6.435897435897436
Man Ki Aankhen,mother,3,105.13333333333334,24,4.3805555555555555
Man Ki Aankhen,geeta,2,231.7,38,6.097368421052631
Krishna-Krishna,mother,1,0.0,15,0.0
Krishna-Krishna,daughter,1,72.0,10,7.2
Love 86,laxmidevi,2,261.0,27,9.666666666666666
Love 86,esha,2,0.0,27,0.0
Love 86,girl,0,0.0,0,0.0
Love 86,leena,2,32.0,31,1.032258064516129
Love and God,mother,1,28.0,10,2.8
Love and God,laila,23,565.0,214,2.6401869158878504
Mera Naam Joker,actress,1,14.0,3,4.666666666666667
Mera Naam Joker,mother,2,118.33333333333333,26,4.551282051282051
Mera Naam Joker,mera,4,0.0,42,0.0
Mera Naam Joker,mary,9,69.0,93,0.7419354838709677
Mere Humsafar,woman,1,120.0,7,17.142857142857142
Mere Humsafar,tarna,12,349.0,61,5.721311475409836
Main Balwan,meera,5,58.0,38,1.5263157894736843
Main Balwan,natasha,1,48.0,8,6.0
Main Balwan,geeta,2,9.0,27,0.3333333333333333
Mazloom,mother,1,4.5,8,0.5625
Mazloom,purnima,8,0.0,78,0.0
Pagla Kahin Ka,helen,1,0.0,21,0.0
Pagla Kahin Ka,jenny,2,63.5,17,3.735294117647059
Naache Mayuri,mayuri,1,0.0,31,0.0
Nagina,,0,0.0,0,0.0
Nagina,mother,0,901.3333333333331,78,11.555555555555554
Nagina,rajni,0,97.0,93,1.043010752688172
Nagina,woman,0,555.5,15,37.03333333333333
Pavitra Paapi,veena,21,1267.0,124,10.21774193548387
Pavitra Paapi,maya,5,65.33333333333334,61,1.0710382513661203
Nasihat,indrani,6,415.16666666666663,53,7.833333333333333
Purab Aur Paschim,mother,1,19.5,12,1.625
Purab Aur Paschim,preeti,10,127.5,88,1.4488636363636365
Purab Aur Paschim,ganga,12,197.0,109,1.8073394495412844
Rootha Na Karo,mother,2,57.0,17,3.3529411764705883
Rootha Na Karo,woman,1,159.0,19,8.368421052631579
Rootha Na Karo,neeta,33,1030.8333333333335,212,4.862421383647799
Rootha Na Karo,reeta,2,0.0,46,0.0
Sachaa Jhutha,sister,6,295.0,59,5.0
Safar (film),shekhar,12,98.0,95,1.0315789473684212
Safar (film),kapoor,2,29.0,14,2.0714285714285716
Safar (film),neela,21,479.5,179,2.67877094972067
Sawan Bhadon,chanda,5,173.0,82,2.1097560975609757
Sawan Bhadon,dolly,10,197.33333333333337,111,1.7777777777777781
Sawan Bhadon,sulochana,15,726.3333333333334,165,4.402020202020203
Suhana Safar,sapna,10,450.5,97,4.644329896907217
Tum Haseen Main Jawaan,anuradha,6,28.666666666666668,48,0.5972222222222222
Aap Aye Bahaar Ayee,beautiful,5,101.0,33,3.0606060606060606
Aap Aye Bahaar Ayee,neena,13,596.5000000000001,129,4.624031007751939
Albela,sister,0,55.166666666666664,11,5.015151515151515
Anand,mother,1,24.0,5,4.8
Anand,renu,2,105.5,14,7.535714285714286
Anubhav,meeta,16,627.1666666666666,116,5.406609195402298
Banphool,gulabi,6,66.0,53,1.2452830188679245
Bikhare Moti,mother,1,157.0,20,7.85
Caravan,woman,1,114.0,22,5.181818181818182
Caravan,mohandas,2,107.0,24,4.458333333333333
Caravan,sunita,16,208.0,129,1.6124031007751938
Chaahat,mother,11,1961.9833333333333,162,12.111008230452676
Chaahat,girl,2,134.0,30,4.466666666666667
Chaahat,geeta,30,1173.0,292,4.017123287671233
Chhoti Bahu,mother,3,25.5,18,1.4166666666666667
Chhoti Bahu,sita,5,8.166666666666666,33,0.24747474747474746
Chhoti Bahu,radha,23,620.2166666666667,134,4.628482587064677
Chhoti Bahu,paro,10,372.83333333333337,79,4.719409282700423
Dushman,phoolmati,6,141.5,57,2.482456140350877
Dushman,malti,7,553.6666666666666,68,8.142156862745097
Dushman,mother,1,406.0,43,9.44186046511628
Dushman,mumtaz,1,203.0,17,11.941176470588236
Dushman,ram,14,0.0,137,0.0
Ek Nari Ek Brahmachari,woman,1,110.0,21,5.238095238095238
Ek Nari Ek Brahmachari,rajlaxmi,2,0.0,42,0.0
Ek Nari Ek Brahmachari,neena,6,0.0,59,0.0
Ek Paheli,woman,2,15.0,32,0.46875
Ek Paheli,rosy,5,95.0,27,3.5185185185185186
Ek Paheli,maria,16,595.5000000000002,126,4.726190476190478
Elaan,mehta,3,127.0,33,3.8484848484848486
Elaan,lily,3,110.0,30,3.6666666666666665
Elaan,mala,3,37.0,37,1.0
Guddi,guddi,12,28.0,132,0.21212121212121213
Qatl,ranjeet,14,478.33333333333337,156,3.0662393162393164
Qatl,sita,9,285.5,107,2.6682242990654204
Qatl,girl,1,6.0,4,1.5
Qatl,rohini,20,218.0,157,1.3885350318471337
Haathi Mere Saathi,tanu,5,788.0,52,15.153846153846153
Suhaagan,janki,17,830.3333333333334,126,6.58994708994709
Hare Rama Hare Krishna,jasbir,11,277.0,96,2.8854166666666665
Hare Rama Hare Krishna,shanti,8,407.0,66,6.166666666666667
Hare Rama Hare Krishna,janice,13,220.0,128,1.71875
Hulchul,woman,2,505.0,32,15.78125
Hulchul,hearing,1,75.0,15,5.0
Hulchul,kitty,9,0.0,107,0.0
Singhasan,devi,3,23.5,13,1.8076923076923077
Singhasan,princess,2,0.0,10,0.0
Swarag Se Sunder,lalitha,15,3420.6666666666665,149,22.957494407158837
Swarag Se Sunder,lakshmi,10,300.5,103,2.9174757281553396
Swarag Se Sunder,girl,1,79.5,15,5.3
Swati,woman,0,730.5,32,22.828125
Swati,sharda,0,433.7666666666667,162,2.6775720164609056
Swati,rajendra,0,186.0,42,4.428571428571429
Swati,anandi,0,39.0,23,1.6956521739130435
Swati,swati,0,292.0,131,2.2290076335877864
The Living Corpse,masha,2,39.0,14,2.7857142857142856
Jal Bin Machhli Nritya Bin Bijli,alaknanda,5,0.0,47,0.0
Johar Mehmood in Hong Kong,sonia,6,358.5,115,3.117391304347826
Johar Mehmood in Hong Kong,daughter,3,985.5,71,13.880281690140846
Kathputli,mother,2,204.83333333333337,37,5.5360360360360374
Kathputli,nisha,4,461.58333333333326,43,10.734496124031006
Kati Patang,madhu,20,167.99999999999997,201,0.8358208955223879
Kati Patang,mrs.,0,0.0,0,0.0
Kati Patang,madhavi,20,4982.616666666667,118,42.22556497175141
Kati Patang,poonam,21,685.6995532245533,177,3.874008775279962
Kati Patang,shabnam,5,96.0,38,2.526315789473684
Lal Patthar,woman,3,266.0,34,7.823529411764706
Lal Patthar,sumita,2,0.0,34,0.0
Main Sunder Hoon,mother,3,54.5,29,1.8793103448275863
Main Sunder Hoon,radha,25,797.5,129,6.182170542635659
Aankhon Aankhon Mein,shobha,3,145.0,28,5.178571428571429
Amar Prem,mother,5,246.66666666666666,29,8.50574712643678
Amar Prem,pushpa,34,3103.0,291,10.663230240549828
Mehboob Ki Mehndi,shabana,9,204.0,65,3.1384615384615384
Annadata,aarti,0,122.93333333333332,78,1.576068376068376
Annadata,arun,0,86.33333333333333,60,1.4388888888888889
Annadata,girl,0,0.0,21,0.0
Mera Gaon Mera Desh,anju,2,26.0,14,1.8571428571428572
Anuraag,mother,0,13.0,10,1.3
Anuraag,shivani,0,237.5,52,4.5673076923076925
Mere Apne,anandi,8,56.0,106,0.5283018867924528
Apradh,rita,5,375.6666666666667,54,6.95679012345679
Apradh,meena,4,70.0,34,2.0588235294117645
