MOVIE NAME, CAST, MENTIONS, TOTAL CENTRALITY, COUNT, AVERAGE CENTRALITY
Janbaaz,vikas,3,118.0,15,7.866666666666666
Janbaaz,singh,1,221.83333333333334,24,9.243055555555555
Janbaaz,rajesh,8,48.0,52,0.9230769230769231
Johny Mera Naam,sohan,3,157.0,30,5.233333333333333
Johny Mera Naam,mohan,2,27.0,23,1.173913043478261
Jeeva,jeeva,0,6.0,20,0.3
Jeeva,lala,0,215.0,19,11.31578947368421
Jeeva,jeevan,0,0.0,37,0.0
Khilona,thakur,2,0.0,20,0.0
Khilona,vijaykamal,20,0.0,38,0.0
Khilona,bihari,7,368.8333333333333,61,6.046448087431694
Khilona,mohan,7,18.0,64,0.28125
Khilona,singh,1,52.0,11,4.7272727272727275
Khilona,brother,2,146.0,31,4.709677419354839
Khilona,vijay,20,490.5,142,3.454225352112676
Maa Aur Mamta,father,7,75.5,57,1.3245614035087718
Maa Aur Mamta,boy,1,10.0,8,1.25
Maa Aur Mamta,henry,3,134.5,27,4.981481481481482
Maa Aur Mamta,williams,8,21.0,72,0.2916666666666667
Maa Aur Mamta,man,1,40.0,6,6.666666666666667
Maa Aur Mamta,bothe,1,193.0,23,8.391304347826088
Maa Aur Mamta,cassim,3,0.0,25,0.0
Maa Aur Mamta,ram,9,229.0,85,2.6941176470588237
Karma,the,0,749.0,369,2.029810298102981
Karma,baiju,0,271.0,99,2.7373737373737375
Karma,johnny,0,54.0,117,0.46153846153846156
Karma,dang,0,1241.0,89,13.9438202247191
Karma,khairuddin,0,474.5,92,5.157608695652174
Karma,singh,0,980.5,280,3.5017857142857145
Man Ki Aankhen,rajesh,7,262.0,43,6.093023255813954
Krishna-Krishna,father,1,15.0,5,3.0
Krishna-Krishna,gopalakrishnan,5,227.0,51,4.450980392156863
Love and God,allah,3,93.83333333333334,22,4.265151515151516
Love and God,kais,25,563.3333333333333,178,3.164794007490636
Love and God,father,6,145.33333333333334,73,1.990867579908676
Mera Naam Joker,raju,37,703.0,294,2.391156462585034
Mere Humsafar,raju,13,340.0,170,2.0
Main Balwan,tony,5,134.0,50,2.68
Main Balwan,father,1,10.0,4,2.5
Main Balwan,anil,2,74.0,40,1.85
Mazloom,father,1,13.0,8,1.625
Mohabbat Ki Kasam,son,5,241.33333333333334,28,8.619047619047619
Mohabbat Ki Kasam,boy,1,12.0,5,2.4
Pagla Kahin Ka,max,3,0.0,11,0.0
Pagla Kahin Ka,shyam,3,3.5,27,0.12962962962962962
Pagla Kahin Ka,sujit,11,0.0,100,0.0
Pagla Kahin Ka,ajit,2,25.0,19,1.3157894736842106
Naam,son,0,166.0,22,7.545454545454546
Naam,ravi,0,113.0,51,2.215686274509804
Naam,vicky,0,75.0,101,0.7425742574257426
Nagina,bhairo,0,490.16666666666663,61,8.03551912568306
Nagina,rajiv,0,262.83333333333337,184,1.4284420289855075
Pavitra Paapi,kedarnath,5,1278.8333333333335,80,15.98541666666667
Pavitra Paapi,pannalal,6,21.583333333333332,111,0.19444444444444445
Pavitra Paapi,kedar,5,308.0,49,6.285714285714286
Nasihat,mohanlal,10,739.0,136,5.4338235294117645
Nasihat,seth,12,54.5,98,0.5561224489795918
Nasihat,rajesh,1,73.0,18,4.055555555555555
Nasihat,dinesh,5,499.5,41,12.182926829268293
Nasihat,jagdish,3,283.0,45,6.288888888888889
Prem Pujari,lieutenant,11,656.3333333333335,110,5.966666666666668
Prem Pujari,man,1,96.5,15,6.433333333333334
Purab Aur Paschim,harnam,1,0.0,26,0.0
Purab Aur Paschim,father,1,60.33333333333333,19,3.1754385964912277
Purab Aur Paschim,bharat,5,139.0,56,2.482142857142857
Patton Ki Bazi,mahesh,3,336.0,33,10.181818181818182
Rootha Na Karo,sudhir,7,161.0,29,5.551724137931035
Rootha Na Karo,sudheer,16,519.4166666666667,117,4.43945868945869
Rootha Na Karo,man,1,76.0,14,5.428571428571429
Rootha Na Karo,anil,3,55.66666666666667,39,1.4273504273504274
Sachaa Jhutha,brother,5,258.4,60,4.306666666666667
Safar (film),kalidas,2,36.0,18,2.0
Safar (film),brother,5,109.0,38,2.8684210526315788
Safar (film),avinash,12,224.0,107,2.0934579439252334
Sawan Bhadon,madan,10,672.0000000000001,91,7.384615384615386
Sawan Bhadon,vikram,30,1594.833333333333,292,5.461757990867579
Sawan Bhadon,man,5,375.16666666666663,55,6.82121212121212
Sawan Bhadon,vinodh,7,876.8333333333331,67,13.087064676616913
Suhana Safar,sunil,4,86.0,27,3.185185185185185
Suhana Safar,father,2,229.5,56,4.098214285714286
Tum Haseen Main Jawaan,sunil,10,655.5,86,7.622093023255814
Aap Aye Bahaar Ayee,son,4,121.33333333333333,30,4.044444444444444
Aap Aye Bahaar Ayee,rohit,25,741.0833333333334,191,3.880017452006981
Aap Aye Bahaar Ayee,kumar,15,336.3333333333333,120,2.8027777777777776
Aap Aye Bahaar Ayee,whiskey,2,58.0,19,3.0526315789473686
Albela,mahesh,0,853.9999999999999,60,14.23333333333333
Albela,father,0,377.0,52,7.25
Anand,anand,22,1020.1666666666666,166,6.145582329317269
Anand,bhaskar,19,1180.1666666666665,222,5.316066066066066
Anand,kulkarni,2,22.0,25,0.88
Andaz,khanna,3,58.83333333333333,26,2.2628205128205128
Andaz,shammi,3,72.0,29,2.4827586206896552
Andaz,man,1,500.66666666666663,27,18.54320987654321
Andaz,rajesh,3,0.0,24,0.0
Anubhav,amar,16,805.3333333333333,177,4.549905838041431
Anubhav,shashi,10,398.5,99,4.025252525252525
Banphool,raja,3,23.0,10,2.3
Banphool,haria,11,137.0,91,1.5054945054945055
Banphool,father,2,246.33333333333334,30,8.211111111111112
Banphool,ajay,17,534.0,122,4.377049180327869
Bikhare Moti,anand,4,53.0,58,0.9137931034482759
Bikhare Moti,gopi,4,72.0,48,1.5
Buddha Mil Gaya,man,1,101.0,15,6.733333333333333
Buddha Mil Gaya,ajay,3,9.0,57,0.15789473684210525
Caravan,father,2,60.0,31,1.935483870967742
Caravan,mohan,2,302.83333333333337,27,11.21604938271605
Caravan,man,1,28.0,5,5.6
Chaahat,father,7,338.1666666666668,136,2.4865196078431384
Chaahat,arun,47,2032.5,372,5.463709677419355
Chaahat,boy,1,37.75,24,1.5729166666666667
Chaahat,brother,9,2638.233333333333,130,20.294102564102563
Chaahat,ashok,45,4941.8,558,8.856272401433692
Chhoti Bahu,madhu,11,411.8333333333333,80,5.147916666666666
Chhoti Bahu,gopi,10,290.0,93,3.118279569892473
Chhoti Bahu,niku,5,124.0,33,3.757575757575758
Chhoti Bahu,shriram,4,27.0,39,0.6923076923076923
Do Boond Pani,son,1,14.0,8,1.75
Do Boond Pani,ganga,13,0.0,82,0.0
Do Boond Pani,singh,4,303.96666666666675,48,6.332638888888891
Dushman,surjit,35,1227.8333333333333,426,2.882237871674491
Dushman,father,1,522.65,50,10.453
Dushman,judge,6,359.9,104,3.460576923076923
Dushman,man,1,178.0,13,13.692307692307692
Dushman,singh,1,13.0,8,1.625
Ek Nari Ek Brahmachari,rajkumar,5,393.16666666666663,51,7.709150326797385
Ek Nari Ek Brahmachari,mohan,4,252.83333333333337,37,6.833333333333334
Ek Nari Ek Brahmachari,surajbhan,4,76.0,100,0.76
Ek Nari Ek Brahmachari,chaudhary,3,135.0,56,2.4107142857142856
Ek Paheli,shankarlal,7,219.0,70,3.1285714285714286
Ek Paheli,sudhir,34,551.8333333333334,238,2.3186274509803924
Ek Paheli,father,3,37.666666666666664,27,1.3950617283950617
Ek Paheli,rocky,2,106.16666666666669,37,2.86936936936937
Elaan,saxena,1,30.0,11,2.727272727272727
Elaan,shyam,5,123.0,52,2.3653846153846154
