Movie Name, Cast Name, Total Centrality, Average Centrality
Bikhare Moti,mother,157.0,7.85
Caravan,woman,114.0,5.181818181818182
Caravan,mohandas,107.0,4.458333333333333
Caravan,sunita,208.0,1.6124031007751938
Chaahat,mother,1961.9833333333333,12.111008230452676
Chaahat,girl,134.0,4.466666666666667
Chaahat,geeta,1173.0,4.017123287671233
Chhoti Bahu,mother,25.5,1.4166666666666667
Chhoti Bahu,sita,8.166666666666666,0.24747474747474746
Chhoti Bahu,radha,620.2166666666667,4.628482587064677
Chhoti Bahu,paro,372.83333333333337,4.719409282700423
Dushman,phoolmati,141.5,2.482456140350877
Dushman,malti,553.6666666666666,8.142156862745097
Dushman,mother,406.0,9.44186046511628
Dushman,mumtaz,203.0,11.941176470588236
Dushman,ram,0.0,0.0
Ek Nari Ek Brahmachari,woman,110.0,5.238095238095238
Ek Nari Ek Brahmachari,rajlaxmi,0.0,0.0
Ek Nari Ek Brahmachari,neena,0.0,0.0
Ek Paheli,woman,15.0,0.46875
Ek Paheli,rosy,95.0,3.5185185185185186
Ek Paheli,maria,595.5000000000002,4.726190476190478
Elaan,mehta,127.0,3.8484848484848486
Elaan,lily,110.0,3.6666666666666665
Elaan,mala,37.0,1.0
Guddi,guddi,28.0,0.21212121212121213
Qatl,ranjeet,478.33333333333337,3.0662393162393164
Qatl,sita,285.5,2.6682242990654204
Qatl,girl,6.0,1.5
Qatl,rohini,218.0,1.3885350318471337
Haathi Mere Saathi,tanu,788.0,15.153846153846153
Suhaagan,janki,830.3333333333334,6.58994708994709
Hare Rama Hare Krishna,jasbir,277.0,2.8854166666666665
Hare Rama Hare Krishna,shanti,407.0,6.166666666666667
Hare Rama Hare Krishna,janice,220.0,1.71875
Hulchul,woman,505.0,15.78125
Hulchul,hearing,75.0,5.0
Hulchul,kitty,0.0,0.0
Singhasan,devi,23.5,1.8076923076923077
Singhasan,princess,0.0,0.0
Swarag Se Sunder,lalitha,3420.6666666666665,22.957494407158837
Swarag Se Sunder,lakshmi,300.5,2.9174757281553396
Swarag Se Sunder,girl,79.5,5.3
Swati,woman,730.5,22.828125
Swati,sharda,433.7666666666667,2.6775720164609056
Swati,rajendra,186.0,4.428571428571429
Swati,anandi,39.0,1.6956521739130435
Swati,swati,292.0,2.2290076335877864
The Living Corpse,masha,39.0,2.7857142857142856
Jal Bin Machhli Nritya Bin Bijli,alaknanda,0.0,0.0
Johar Mehmood in Hong Kong,sonia,358.5,3.117391304347826
Johar Mehmood in Hong Kong,daughter,985.5,13.880281690140846
Kathputli,mother,204.83333333333337,5.5360360360360374
Kathputli,nisha,461.58333333333326,10.734496124031006
Kati Patang,madhu,167.99999999999997,0.8358208955223879
Kati Patang,mrs.,0.0,0.0
Kati Patang,madhavi,4982.616666666667,42.22556497175141
Kati Patang,poonam,685.6995532245533,3.874008775279962
Kati Patang,shabnam,96.0,2.526315789473684
Lal Patthar,woman,266.0,7.823529411764706
Lal Patthar,sumita,0.0,0.0
Main Sunder Hoon,mother,54.5,1.8793103448275863
Main Sunder Hoon,radha,797.5,6.182170542635659
Aankhon Aankhon Mein,shobha,145.0,5.178571428571429
Amar Prem,mother,246.66666666666666,8.50574712643678
Amar Prem,pushpa,3103.0,10.663230240549828
Mehboob Ki Mehndi,shabana,204.0,3.1384615384615384
Annadata,aarti,122.93333333333332,1.576068376068376
Annadata,arun,86.33333333333333,1.4388888888888889
Annadata,girl,0.0,0.0
Mera Gaon Mera Desh,anju,26.0,1.8571428571428572
Anuraag,mother,13.0,1.3
Anuraag,shivani,237.5,4.5673076923076925
Mere Apne,anandi,56.0,0.5283018867924528
Apradh,rita,375.6666666666667,6.95679012345679
Apradh,meena,70.0,2.0588235294117645
Parwana,asha,209.33333333333331,3.3227513227513223
Patanga,kamla,62.0,1.9375
Patanga,sister,188.91666666666669,4.3934108527131785
Patanga,renu,738.6666666666666,3.8673647469458987
Bhai Ho To Aisa,munnibai,6.0,2.0
Dastaan,mala,126.33333333333333,1.2147435897435896
Dastaan,meena,99.0,1.4558823529411764
Pyar Ki Kahani,kusum,342.0,9.771428571428572
Reshma Aur Shera,reshma,333.0,3.619565217391304
Do Chor,sandhya,113.0,1.313953488372093
Do Gaz Zameen Ke Neeche,meera,6.0,0.14634146341463414
Sanjog,seema,56.5,0.9262295081967213
Sanjog,asha,229.5,2.6079545454545454
Dushman,phoolmati,142.5,2.5
Dushman,malti,541.5,7.963235294117647
Dushman,mother,406.0,9.44186046511628
Dushman,mumtaz,201.0,11.823529411764707
Dushman,ram,0.0,0.0
Ek Bechara,kavita,725.5,4.9353741496598635
Sharmeelee,kanchan,135.83333333333337,2.8900709219858163
Sharmeelee,kamini,24.0,4.0
Sharmeelee,sister,4.0,0.8
Ek Hasina Do Diwane,woman,287.0,12.478260869565217
Ek Hasina Do Diwane,neeta,51.0,0.6986301369863014
Shri Krishna Leela,yashoda,0.0,0.0
Tere Mere Sapne,actress,33.0,5.5
Tere Mere Sapne,nisha,63.0,0.7590361445783133
Gaon Hamara Shaher Tumhara,mother,509.8571428571428,8.223502304147464
Gaon Hamara Shaher Tumhara,paro,28.0,1.3333333333333333
