movieTitle_year,singer_name,gender,song_count
Aakhree Raasta (1986 film)_1986,Mohammad Aziz,UNKNOWN,1
Aakhree Raasta (1986 film)_1986,S. Janaki,FEMALE,3
Aakhree Raasta (1986 film)_1986,Mohammed Aziz,UNKNOWN,2
Aap Ke Saath_1986,Numbers in Action,UNKNOWN,2
Aap Ke Saath_1986,Aap Ke Saath,UNKNOWN,1
Aap Ke Saath_1986,Salma Agha,FEMALE,1
Aap Ke Saath_1986,Shabbir Kumar,UNKNOWN,3
Aap Ke Saath_1986,Anuradha Paudwal,FEMALE,1
Aap Ke Saath_1986,Lata Mangeshkar,FEMALE,1
Bombay Talkie (1970 film)_1970,Usha Uthup,FEMALE,2
Bombay Talkie (1970 film)_1970,Mohammed Rafi,MALE,1
Bombay Talkie (1970 film)_1970,Asha Bhosle,FEMALE,1
Bombay Talkie (1970 film)_1970,Kishore Kumar,MALE,1
Aashiana_1974,Asha Bhosle,FEMALE,2
Aashiana_1974,Mahendra Kapoor,MALE,1
Aashiana_1974,Mohammed Rafi,MALE,4
Chetna_1970,Chetna,FEMALE,3
Adhikar (1986 film)_1986,Kishore Kumar,MALE,4
Adhikar (1986 film)_1986,Chandrani Mukherjee,FEMALE,1
Adhikar (1986 film)_1986,Lata Mangeshkar,FEMALE,2
Adhikar (1986 film)_1986,Kavita Krishnamurthy,FEMALE,2
Adhikar (1986 film)_1986,Khoon Ka Badla Khoon,UNKNOWN,1
Adhikar (1986 film)_1986,Anupama Deshpande,FEMALE,2
Choron Ka Chor_1970,Usha Mangeshkar,FEMALE,1
Choron Ka Chor_1970,Mahendra Kapoor,MALE,1
Choron Ka Chor_1970,Asha Bhosle,FEMALE,2
Choron Ka Chor_1970,Mohammed Rafi,MALE,1
Aisa Pyaar Kahan_1986,Mohammed Aziz,UNKNOWN,5
Aisa Pyaar Kahan_1986,Kavita Krishnamurthy,FEMALE,3
Aisa Pyaar Kahan_1986,Shailendra Singh (singer),MALE,1
Aisa Pyaar Kahan_1986,Anuradha Paudwal,FEMALE,1
Allah Rakha (film)_1986,Lata Mangeshkar,FEMALE,1
Allah Rakha (film)_1986,Mohammed Aziz,UNKNOWN,4
Allah Rakha (film)_1986,Asha Bhosle,FEMALE,3
Allah Rakha (film)_1986,Shabbir Kumar,UNKNOWN,1
Amrit (film)_1986,Mohammad Aziz,UNKNOWN,1
Amrit (film)_1986,Anuradha Paudwal,FEMALE,2
Amrit (film)_1986,Manhar Udhas,UNKNOWN,1
Amrit (film)_1986,Kavita Krishnamurthy,FEMALE,1
Amrit (film)_1986,Jaspal Singh (singer),UNKNOWN,1
Amrit (film)_1986,Mahendra Kapoor,MALE,1
Amrit (film)_1986,Mohammed Aziz,UNKNOWN,1
