frame_number,man/woman,emotion,year,movie_name
111,woman,sad,2013,nasha
45,man,happy,2013,nasha
55,woman,neutral,2013,nasha
35,woman,happy,2013,nasha
36,woman,happy,2013,nasha
53,woman,neutral,2013,nasha
56,man,neutral,2013,nasha
110,woman,angry,2013,nasha
127,woman,sad,2013,nasha
